"method","tau","n","model","beta_ci_same","infin","na","skip_beta","skip_int","nsims_beta","nsims_int","bias","bias_se","empSE","empSE_se","cov","cov_se","cov_be","cov_be_se","intwidth_empSE","intwidth_empSE_se","empSE_rel","empSE_rel_se"
"bayes_adjv2","0.1","n = 100",1,0,0,0,0,0,1000,1000,0.263561351782828,0.0512946146716793,1.62207814063197,0.036288918870515,0.912,0.00895857131466843,0.916,0.00877177291087725,2.21162230227216,0.0494781233338781,NA,NA
"bayes_adjv2","0.1","n = 100",2,0,0,0,0,0,1000,1000,0.223687724298171,0.0527144955609321,1.66697871679381,0.0372934286563023,0.912,0.00895857131466843,0.923,0.00843036179532053,2.28625851040758,0.0511478747681548,NA,NA
"bayes_adjv2","0.1","n = 100",3,NA,0,0.004,0.004,0.004,996,996,0.376700218745647,0.0800536023687317,2.52644907631287,0.0566348833996286,0.912650602409639,0.00894648751670221,0.913654618473896,0.00889981366931973,5.15726343230914,0.115609301564179,NA,NA
"bayes_adjv2","0.1","n = 100",4,0,0,0,0,0,1000,1000,0.0373230654612822,0.025481756011136,0.805803877758768,0.018027338395758,0.891,0.00985489725973843,0.89,0.00989444288477123,1.36769396758134,0.0305978696007304,NA,NA
"bayes_adjv2","0.1","n = 100",5,NA,0,0.002,0.002,0.002,998,998,0.0544107254689119,0.0378232424158737,1.19487927068648,0.0267584806110504,0.891783567134269,0.00983356672793415,0.890781563126252,0.00987343604827628,2.47502279843088,0.0554263942713404,NA,NA
"bayes_adjv2","0.1","n = 250",1,0,0,0,0,0,1000,1000,0.0969967433802652,0.0324653763968643,1.02664534508762,0.0229679746637615,0.9,0.00948683298050514,0.907,0.00918428004799505,1.02700479509009,0.0229760162319517,NA,NA
"bayes_adjv2","0.1","n = 250",2,0,0,0,0,0,1000,1000,0.0361116444478042,0.0333230184496812,1.05376636812806,0.0235747226250012,0.927,0.00822623850857729,0.927,0.00822623850857729,1.05684179436954,0.0236435256564789,NA,NA
"bayes_adjv2","0.1","n = 250",3,NA,0,0.009,0.009,0.009,991,991,0.233960664683216,0.0529606893816874,1.66721057704344,0.0374677713913317,0.894046417759839,0.00977689674902051,0.898082744702321,0.00961048285974455,1.95329240440486,0.043896982346675,NA,NA
"bayes_adjv2","0.1","n = 250",4,0,0,0,0,0,1000,1000,0.0197257792913527,0.0166901971863899,0.52779037706326,0.01180765691499,0.878,0.0103496859855746,0.883,0.010164201887015,0.636340773163767,0.0142361321029479,NA,NA
"bayes_adjv2","0.1","n = 250",5,NA,0,0.009,0.009,0.009,991,991,0.0477811675189,0.0241370953763091,0.759839442807622,0.0170761215945015,0.889001009081736,0.00997869652774989,0.885973763874874,0.0100966196899124,1.0856725453162,0.02439867602441,NA,NA
"bayes_adjv2","0.1","n = 500",1,0,0,0,0,0,1000,1000,0.0564072154120069,0.0240960406236764,0.761983709627616,0.0170469993563673,0.903,0.00935900635751467,0.904,0.00931579304192617,0.597380586668126,0.013364519933654,NA,NA
"bayes_adjv2","0.1","n = 500",2,0,0,0,0,0,1000,1000,0.0433464136486962,0.0242826514837276,0.767884863166463,0.0171790191873788,0.905,0.00927227048785787,0.899,0.00952885092757778,0.676854988463085,0.0151425108002939,NA,NA
"bayes_adjv2","0.1","n = 500",3,NA,0,0.016,0.016,0.016,984,984,0.0593420433015988,0.0377137932883442,1.18303546900709,0.0266812399653371,0.898373983739837,0.00963237728464325,0.897357723577236,0.00967494246498287,1.10085568507402,0.0248278225549039,NA,NA
"bayes_adjv2","0.1","n = 500",4,0,0,0,0,0,1000,1000,0.0141060960342558,0.0108031213087323,0.34162469174693,0.00764278268255255,0.911,0.00900438781928011,0.913,0.00891240708226459,0.382643046880183,0.00856043992997262,NA,NA
