"method","tau","n","model","beta_ci_same","infin","na","skip_beta","skip_int","nsims_beta","nsims_int","bias","bias_se","empSE","empSE_se","cov","cov_se","cov_be","cov_be_se","intwidth_empSE","intwidth_empSE_se","empSE_rel","empSE_rel_se"
"bayes_adjv1","0.1","n = 100",1,0,0,0,0,0,1000,1000,0.299682205274836,0.0504308303002022,1.59476288042072,0.0356778254608309,0.999,0.000999499874937461,1,0,6.45196691082009,0.144342555341248,NA,NA
"bayes_adjv1","0.1","n = 100",2,0,0,0,0,0,1000,1000,0.200060827993683,0.0522413263579952,1.65201579279454,0.0369586800881083,1,0,1,0,7.10717993981212,0.159000895070018,NA,NA
"bayes_adjv1","0.1","n = 100",3,NA,0,0.004,0.004,0.004,996,996,0.188276355893642,0.0807182818424706,2.54742600667931,0.0571051188840974,1,0,1,0,12.7983532269229,0.286898022014309,NA,NA
"bayes_adjv1","0.1","n = 100",4,0,0,0,0,0,1000,1000,0.00959738752315711,0.0240686550808279,0.761117702724001,0.0170276251637934,1,0,1,0,4.63734745597595,0.103746127506987,NA,NA
"bayes_adjv1","0.1","n = 100",5,NA,0,0.004,0.004,0.004,996,996,0.0734747453725645,0.0395606034043407,1.24851158438705,0.027987624475709,0.997991967871486,0.00141846682301594,0.997991967871486,0.00141846682301594,8.50822374459263,0.190727081828299,NA,NA
"bayes_adjv1","0.1","n = 100",6,0,0,0,0,0,1000,1000,0.193631081780538,0.0244780034247629,0.774062433956527,0.0173172229887876,1,0,0.998,0.00141279864099595,4.12860278680468,0.0923645586645819,NA,NA
"bayes_adjv1","0.1","n = 100",7,NA,0,0.001,0.001,0.001,999,999,0.291066706733109,0.0383133695984443,1.21096918858285,0.0271052130224887,1,0,1,0,7.81186470403566,0.174853546153012,NA,NA
"bayes_adjv1","0.1","n = 250",1,0,0,0,0,0,1000,1000,0.101587176775448,0.0329560553381999,1.04216197563262,0.0233151106819882,1,0,1,0,4.21980957279723,0.0944050248877655,NA,NA
"bayes_adjv1","0.1","n = 250",2,0,0,0,0,0,1000,1000,0.0830720795803911,0.034275549272338,1.08388803753915,0.0242486006522815,1,0,1,0,4.40526800402218,0.0985540765246694,NA,NA
"bayes_adjv1","0.1","n = 250",3,NA,0,0.006,0.006,0.006,994,994,0.0702752718972084,0.0507839577480105,1.60110471311667,0.0359277577595037,1,0,1,0,7.78435230925669,0.174675848362973,NA,NA
"bayes_adjv1","0.1","n = 250",4,0,0,0,0,0,1000,1000,0.0294689847981639,0.0159820171635663,0.505395758407734,0.0113066474511611,1,0,1,0,2.5817468309581,0.057758500620905,NA,NA
"bayes_adjv1","0.1","n = 250",5,NA,0,0.011,0.011,0.011,989,989,0.0452825960833837,0.0236314948557549,0.74317200302304,0.0167184445961705,1,0,1,0,4.87864910852513,0.109750400302022,NA,NA
"bayes_adjv1","0.1","n = 250",6,0,0,0,0,0,1000,1000,0.0723977390473501,0.0169474547215633,0.535925574627146,0.0119896564851688,1,0,1,0,2.36857458856611,0.0529894392447404,NA,NA
"bayes_adjv1","0.1","n = 250",7,NA,0,0.013,0.013,0.013,987,987,0.121313171877071,0.025489104091878,0.800779869783392,0.0180326557487266,1,0,1,0,4.36542923172529,0.098304522255815,NA,NA
"bayes_adjv1","0.1","n = 500",1,0,0,0,0,0,1000,1000,0.0172199703320224,0.0233837595879316,0.739459405556641,0.0165430885874767,1,0,1,0,2.90614313213615,0.0650158520150609,NA,NA
"bayes_adjv1","0.1","n = 500",2,0,0,0,0,0,1000,1000,0.0613833955004761,0.0245276832572448,0.775633448200712,0.0173523695128814,1,0,1,0,3.08802306711137,0.0690848460044126,NA,NA
"bayes_adjv1","0.1","n = 500",3,NA,0,0.02,0.02,0.02,980,980,0.0743683515975741,0.0393352387953097,1.23138775000499,0.0278284158869582,1,0,1,0,5.17908336462603,0.117043299954426,NA,NA
"bayes_adjv1","0.1","n = 500",4,0,0,0,0,0,1000,1000,0.0153248177759799,0.0113844293607025,0.360007266411146,0.00805403522576297,1,0,1,0,1.83824076832128,0.041124880753337,NA,NA
"bayes_adjv1","0.1","n = 500",5,NA,0,0.025,0.025,0.025,975,975,0.0330586072054693,0.0171827822905135,0.53653220505586,0.0121562974752609,1,0,1,0,3.03174808209507,0.0686908096265393,NA,NA
"bayes_adjv1","0.1","n = 500",6,0,0,0,0,0,1000,1000,0.0378969608268444,0.0120916053277361,0.38237013403473,0.00855433435968023,1,0,1,0,1.73287400110294,0.0387676292921065,NA,NA
"bayes_adjv1","0.1","n = 500",7,NA,0,0.026,0.026,0.026,974,974,0.0475804348569963,0.0179595415915105,0.560498849854833,0.0127058378253901,1,0,1,0,2.96720859865972,0.0672630662104619,NA,NA
"bayes_adjv1","0.1","n = 750",1,0,0,0,0,0,1000,1000,-0.00191362290009333,0.0192294180719552,0.60808759186982,0.0136040556461315,1,0,1,0,2.71314428461053,0.0606981071761893,NA,NA
"bayes_adjv1","0.1","n = 750",2,0,0,0,0,0,1000,1000,0.0568964966604836,0.0201424486257963,0.636960153104448,0.0142499887895368,1,0,1,0,2.78271496283348,0.0622545332413452,NA,NA
"bayes_adjv1","0.1","n = 750",3,NA,0,0.039,0.039,0.039,961,961,0.0523929650981338,0.0309291516931305,0.958803702487046,0.0218816006696511,1,0,1,0,4.47205250897534,0.102060168229724,NA,NA
"bayes_adjv1","0.1","n = 750",4,0,0,0,0,0,1000,1000,-0.0085860819967611,0.00930422800966257,0.294225523800688,0.00658237472991167,1,0,1,0,1.5628702411752,0.0349643275292845,NA,NA
"bayes_adjv1","0.1","n = 750",5,NA,0,0.027,0.027,0.027,973,973,0.0141873082219721,0.0138940440223228,0.433396191599902,0.00982962523967827,1,0,1,0,2.47737021236381,0.0561878974468679,NA,NA
"bayes_adjv1","0.1","n = 750",6,0,0,0,0,0,1000,1000,0.0165855712683142,0.00979808099950016,0.309842526572396,0.00693175626239586,1,0,1,0,1.42220641047263,0.0318174148050969,NA,NA
"bayes_adjv1","0.1","n = 750",7,NA,0,0.051,0.051,0.051,949,949,0.0156710189093857,0.0149016424893667,0.459057667932879,0.010542608507349,1,0,1,0,2.34435598748822,0.0538399183903002,NA,NA
"bayes_adjv1","0.5","n = 100",1,0,0,0,0,0,1000,1000,0.100856614505242,0.0360291163831569,1.13934069854063,0.0254891802925774,1,0,1,0,3.89211744754915,0.0870739397508922,NA,NA
"bayes_adjv1","0.5","n = 100",2,0,0,0,0,0,1000,1000,0.0685007014556143,0.0413964203581095,1.30906975309389,0.0292863363828831,1,0,1,0,3.78404578303117,0.0846561746829487,NA,NA
"bayes_adjv1","0.5","n = 100",3,NA,0,0.004,0.004,0.004,996,996,0.0913248814874172,0.0434724064339276,1.37196600565465,0.0307550765566599,1,0,1,0,4.54819102284173,0.101955852058496,NA,NA
"bayes_adjv1","0.5","n = 100",4,0,0,0,0,0,1000,1000,-0.00924194889073457,0.0194416006970966,0.614797395623426,0.0137541664934158,1,0,1,0,2.55624203928405,0.0571879107752711,NA,NA
"bayes_adjv1","0.5","n = 100",5,NA,0,0.004,0.004,0.004,996,996,0.0106211654969487,0.0209585176976973,0.661439661819845,0.0148273553083948,1,0,1,0,2.65457949954173,0.0595071564438578,NA,NA
"bayes_adjv1","0.5","n = 100",6,0,0,0,0,0,1000,1000,0.0758432159864659,0.018695181584614,0.591193550778163,0.0132261043802748,0.999,0.000999499874937461,0.999,0.000999499874937461,2.2823074031695,0.0510594811165668,NA,NA
"bayes_adjv1","0.5","n = 100",7,NA,0,0.001,0.001,0.001,999,999,0.0956189275758635,0.0208843388252865,0.660090488161435,0.0147748542774011,1,0,1,0,2.37286601412532,0.0531120357091483,NA,NA
"bayes_adjv1","0.5","n = 250",1,0,0,0,0,0,1000,1000,0.0232954102679314,0.0247998060562973,0.784238726683374,0.0175448856715628,1,0,1,0,2.57012442783698,0.0574984857465422,NA,NA
"bayes_adjv1","0.5","n = 250",2,0,0,0,0,0,1000,1000,0.0617821985104813,0.0257394514862901,0.81395292420083,0.0182096477912183,1,0,1,0,2.64319746759153,0.0591332661833477,NA,NA
"bayes_adjv1","0.5","n = 250",3,NA,0,0.006,0.006,0.006,994,994,0.0731135392343682,0.0280578729049756,0.884602038523568,0.0198498995682627,1,0,1,0,2.76349859170657,0.0620111271662521,NA,NA
"bayes_adjv1","0.5","n = 250",4,0,0,0,0,0,1000,1000,0.00636347644647332,0.012531650145448,0.396285572999962,0.00886564873042945,1,0,1,0,329.870910081307,7.37982862466767,NA,NA
"bayes_adjv1","0.5","n = 250",5,NA,0,0.011,0.011,0.011,989,989,-0.0165119292320622,0.0134081368841866,0.421664054933937,0.00948578136949953,1,0,1,0,1.61279021750925,0.0362814311989605,NA,NA
"bayes_adjv1","0.5","n = 250",6,0,0,0,0,0,1000,1000,0.0289348094888228,0.0127004573826615,0.401623726551109,0.00898507319974661,1,0,1,0,1.41616752312142,0.0316823136113463,NA,NA
"bayes_adjv1","0.5","n = 250",7,NA,0,0.013,0.013,0.013,987,987,0.0347026197867708,0.0135020648468716,0.424188378332608,0.00955224186785766,1,0,1,0,1.50722778079709,0.0339410626210959,NA,NA
"bayes_adjv1","0.5","n = 500",1,0,0,0,0,0,1000,1000,-0.0153038446264259,0.0184835572496533,0.584501401710221,0.0130763885012966,1,0,1,0,3.05233935384672,0.0682865346634095,NA,NA
"bayes_adjv1","0.5","n = 500",2,0,0,0,0,0,1000,1000,0.0384149875407579,0.0189787256285281,0.600160000735595,0.0134267006196983,1,0,1,0,3.03055997714534,0.067799289311679,NA,NA
"bayes_adjv1","0.5","n = 500",3,NA,0,0.02,0.02,0.02,980,980,0.0601403550052292,0.0200883699186828,0.628865449734714,0.0142118753999995,1,0,1,0,3.12769623336261,0.070683528847623,NA,NA
