"method","beta","lb","ub","tau","chemical_name","transformation"
"riid_nodith",-0.198985748930001,-0.864108733871952,0.630755420857821,0.1,"arsenic.t1.res","log2x"
"xy_nodith",-0.198985748930001,-0.948102804110279,0.550131306250278,0.1,"arsenic.t1.res","log2x"
"riid_dith",-0.229477308177351,-0.964946860447655,0.563055597221249,0.1,"arsenic.t1.res","log2x"
"xy_dith",-0.229477308177351,-0.979575789559415,0.520621173204713,0.1,"arsenic.t1.res","log2x"
"bayes_unadj",-0.223821585145103,-0.699935755576653,0.245543275147719,0.1,"arsenic.t1.res","log2x"
"bayes_adjv2",-0.223821585145103,-1.04970740963146,0.603537079088503,0.1,"arsenic.t1.res","log2x"
"riid_nodith",-0.0419778082105095,-0.790750479078631,0.305274405528068,0.5,"arsenic.t1.res","log2x"
"xy_nodith",-0.0419778082105095,-0.626142887848559,0.54218727142754,0.5,"arsenic.t1.res","log2x"
"riid_dith",-0.11942090596552,-0.756222525674616,0.430300584367924,0.5,"arsenic.t1.res","log2x"
"xy_dith",-0.11942090596552,-0.708482149659172,0.469640337728132,0.5,"arsenic.t1.res","log2x"
"bayes_unadj",-0.162938428816868,-0.493263862124587,0.150103457719809,0.5,"arsenic.t1.res","log2x"
"bayes_adjv2",-0.162938428816868,-0.783814976463426,0.457935964041445,0.5,"arsenic.t1.res","log2x"
"riid_nodith",0.315312135811285,-0.836825823559476,1.37987760166431,0.9,"arsenic.t1.res","log2x"
"xy_nodith",0.315312135811285,-1.05424396048645,1.68486823210902,0.9,"arsenic.t1.res","log2x"
"riid_dith",0.153525179558967,-0.915090640010113,1.6072951075507,0.9,"arsenic.t1.res","log2x"
"xy_dith",0.153525179558967,-1.22815737777939,1.53520773689732,0.9,"arsenic.t1.res","log2x"
"bayes_unadj",0.206517639022517,-0.37720463605457,0.790758449876167,0.9,"arsenic.t1.res","log2x"
"bayes_adjv2",0.206517639022517,-1.07411665561311,1.49109387808221,0.9,"arsenic.t1.res","log2x"
"riid_nodith",-0.404197484977189,-0.865011097921993,0.281152914936284,0.1,"cadmium.t1.res","log2x"
"xy_nodith",-0.404197484977189,-0.97001582326395,0.161620853309571,0.1,"cadmium.t1.res","log2x"
